CATEGORY,Name,Campbell 1291,Poll Tax Pop. 1377,parliamentary,X8,long,lat
NA,Appleby,NA,NA,X,Hist Parl.,-2.489614,54.578302
NA,Arundel,NA,NA,X,Hist Parl.,-0.555119,50.855171
6,Barnstaple,2100,680,X,NA,-4.058338,51.0781599
6,Bath,NA,570,X,NA,-2.3599039,51.375801
7,Bedford,2000,34,X,NA,-0.4666546,52.1359729
NA,Bletchingley,NA,NA,X,Hist Parl.,-0.099162,51.240586
6,Bodmin,NA,642,X,NA,-4.7188629,50.4714961
4,Boston,6200,2871,X,NA,-0.026577,52.97893999999999
6,Bridgnorth,2400,900,X,NA,-2.424549,52.53445499999999
6,Bridgwater,2700,888,X,NA,-3.003632,51.127889
NA,Bridport,NA,NA,X,Hist Parl.,-2.758301,50.7335769
2,Bristol,14400,6345,X,NA,-2.58791,51.454513
NA,Calne,NA,NA,X,Hist Parl.,-2.003884,51.43933
4,Cambridge,6900,1902,X,NA,0.121817,52.205337
4,Canterbury,8800,2574,X,NA,1.0789089,51.280233
6,Carlisle,NA,678,X,NA,-2.932931,54.892473
NA,Chippenham,NA,NA,X,Hist Parl.,-2.1195157,51.461514
4,Colchester,6200,2955,X,NA,0.8918740000000001,51.895927
NA,Cricklade,NA,NA,X,Hist Parl.,-1.856351,51.6380709
6,Dartmouth,NA,506,X,NA,-3.578807,50.352517
5,Derby,2900,1046,X,NA,-1.4746186,52.9225301
NA,Devizes,NA,NA,X,Hist Parl.,-1.994828,51.3489069
7,Dorchester,NA,NA,X,NA,-2.441181,50.7111639
6,Dover,NA,NA,X,NA,1.3134027,51.1278758
NA,Downton,NA,NA,X,Hist Parl.,-1.751388,50.994428
7,Dunwich,NA,NA,X,NA,1.6265635,52.2766935
NA,East Grinstead,NA,NA,X,NA,-0.014468,51.128742
4,Gloucester,7200,2239,X,NA,-2.238156,51.8642449
NA,Great Bedwyn,NA,NA,X,Hist Parl.,-1.602843,51.37982
NA,Great Torrington,NA,NA,X,Hist Parl.,-4.135998,50.9546459
4,Great Yarmouth,7000,1941,X,NA,1.7280470000000001,52.598233
6,Grimsby,2000,703,X,NA,-0.080784,53.567471
7,Guildford,NA,NA,X,NA,-0.570409,51.23622
5,Hastings,NA,NA,X,NA,0.573453,50.854259
NA,Helston,NA,NA,X,Hist Parl.,-5.274996,50.101593
4,Hereford,5500,1903,X,NA,-2.715974,52.05639799999999
NA,Horsham,NA,NA,X,Hist Parl.,-0.325858,51.062883
7,Huntingdon,2800,NA,X,NA,-0.182552,52.33146
7,Hythe,NA,NA,X,NA,1.081937,51.071739
5,Ipswich,5300,1507,X,NA,1.14822,52.056736
3,King's Lynn,6900,3127,X,NA,0.4022963000000001,52.7516798
NA,Launceston,NA,NA,X,NA,-4.358557999999999,50.640134
4,Leicester,5400,2101,X,NA,-1.1397592,52.6368778
NA,Leominster,NA,NA,X,Hist Parl.,-2.742772,52.2257
7,Lewes,NA,NA,X,NA,0.00878,50.87387200000001
3,Lincoln,12300,3412,X,NA,-0.5405789999999999,53.230688
7,Liskeard,NA,461,X,NA,-4.464719,50.45552
1,London,60000,23314,X,NA,-0.1277583,51.5073509
NA,Lostwithiel,NA,NA,X,Hist Parl.,-4.6750679,50.406021
NA,Ludgershall,NA,NA,X,Hist Parl.,-1.621289,51.255202
7,Lyme Regis,NA,NA,X,NA,-2.936639,50.725156
6,Maldon,NA,542,X,NA,0.6714479999999999,51.73180499999999
NA,Malmesbury,NA,NA,X,Hist Parl.,-2.102834,51.586357
7,Marlborough,NA,462,X,NA,-1.727062,51.420073
7,Melcombe Regis,NA,NA,X,NA,-2.45599,50.623666
NA,Midhurst,NA,NA,X,Hist Parl.,-0.737274,50.9868979
7,New Romney,NA,NA,X,NA,0.9394730000000001,50.985117
NA,New Shoreham,NA,NA,X,Hist Parl.,-0.2718733,50.832515
4,Newcastle-on-Tyne,9900,2647,X,NA,-1.61778,54.978252
6,Newcastle-under-Lyme,NA,550,X,NA,-2.2273002,53.013208
5,Northampton,4200,1477,X,NA,-0.9026560000000001,52.240477
3,Norwich,12000,3952,X,NA,1.297355,52.6308859
5,Nottingham,4200,1447,X,NA,-1.1581086,52.95478319999999
NA,Old Sarum,NA,NA,X,Hist Parl.,-1.8048782,51.0932288
4,Oxford,9800,2357,X,NA,-1.2577263,51.7520209
NA,Plympton Erle,NA,NA,X,Hist Parl.,-4.040977,50.3798296
7,Portsmouth,NA,NA,X,NA,-1.0879769,50.8197675
5,Reading,3100,1050,X,NA,-0.9781303,51.4542645
NA,Reigate,NA,NA,X,Hist Parl.,-0.205883,51.237276
6,Rochester,NA,570,X,NA,0.506721,51.38800000000001
6,Rye,NA,NA,X,NA,0.7372599999999999,50.949708
3,Salisbury,7700,3226,X,NA,-1.794472,51.068785
6,Sandwich,3000,NA,X,NA,1.337427,51.274017
5,Scarborough,6500,1393,X,NA,-0.399752,54.283113
7,Shaftesbury,NA,NA,X,NA,-2.198083,51.0046
4,Shrewsbury,5700,2082,X,NA,-2.7553268,52.70730289999999
5,Southampton,3500,1152,X,NA,-1.4043509,50.90970040000001
5,Southwark,NA,NA,X,NA,-0.0820877,51.48344789999999
7,Stafford,NA,461,X,NA,-2.12066,52.806693
6,Taunton,NA,539,X,NA,-3.106849,51.015344
NA,Tavistock,NA,NA,X,Hist Parl.,-4.141654,50.5511229
6,Tenterden,NA,546,X,NA,0.689122,51.069358
NA,Totnes,NA,NA,X,Hist Parl.,-3.685797,50.433741
7,Truro,NA,NA,X,NA,-5.051041,50.263195
7,Wallingford,NA,NA,X,NA,-1.1335613,51.5974177
NA,Wareham,NA,NA,X,Hist Parl.,-2.110981,50.687817
6,Warwick,NA,NA,X,NA,-1.584927,52.28231599999999
6,Wells,2300,901,X,NA,-2.6445979,51.209347
7,Weymouth,NA,NA,X,NA,-2.457621,50.6144279
6,Wilton,NA,639,X,NA,-1.862598,51.079018
7,Winchelesea (New),NA,NA,X,NA,0.7080695,50.9246867
5,Winchester,6800,1526,X,NA,-1.310142,51.059771
5,Worcester,3700,1557,X,NA,-2.221575,52.193636
2,York,22700,7248,X,NA,-1.0872979,53.95996510000001
